Property,Value
Version,5.0.0.dev0
Directory,/home/mcowley/projects/decombinator/Decombinator/examples
InputFile,TINY_alpha
OutputFile,TINY_alpha
DateFinished,2025_08_29
TimeFinished,13:50:47
TimeTaken(Seconds),0.03

extension,freq
dontgzip,False
allowNs,False
dontcheckinput,False
barcodeduplication,False
minbcQ,20
bcQbelowmin,1
bcthreshold,2
lenthreshold,130
percentlevdist,10
avgQthreshold,30
positionalbarcodes,False
oligo,M13

InputUncollapsedDCRLines,35
UniqueDCRsPassingFilters,26
TotalDCRsPassingFilters,30
PercentDCRPassingFilters(withbarcode),0.857
UniqueDCRsPostCollapsing,26
TotalDCRsPostCollapsing,26
PercentUniqueDCRsKept,1.0
PercentTotalDCRsKept,0.867
AverageInputTCRAbundance,1.154
AverageOutputTCRAbundance,1.0
AverageRNAduplication,1.154

BarcodeFail_ContainedNs,0
BarcodeFail_SpacersNotFound,0
BarcodeFail_LowQuality,5
