Property,Value
Version,5.0.0.dev0
Directory,/home/mcowley/projects/decombinator/Decombinator/examples
InputFile,TINY_beta
OutputFile,TINY_beta
DateFinished,2025_08_29
TimeFinished,13:49:52
TimeTaken(Seconds),0.05

extension,freq
dontgzip,False
allowNs,False
dontcheckinput,False
barcodeduplication,False
minbcQ,20
bcQbelowmin,1
bcthreshold,2
lenthreshold,130
percentlevdist,10
avgQthreshold,30
positionalbarcodes,False
oligo,M13

InputUncollapsedDCRLines,48
UniqueDCRsPassingFilters,39
TotalDCRsPassingFilters,44
PercentDCRPassingFilters(withbarcode),0.917
UniqueDCRsPostCollapsing,36
TotalDCRsPostCollapsing,37
PercentUniqueDCRsKept,0.923
PercentTotalDCRsKept,0.841
AverageInputTCRAbundance,1.128
AverageOutputTCRAbundance,1.028
AverageRNAduplication,1.189

BarcodeFail_ContainedNs,0
BarcodeFail_SpacersNotFound,1
BarcodeFail_LowQuality,3
