Property,Value
Version,4.0.4
Directory,/home/yutanagano/Projects/Decombinator-Test-Data
InputFile,dcr_TINY_1_beta.n12.gz
OutputFile,dcr_TINY_1_beta.freq.gz
DateFinished,2023_01_31
TimeFinished,14:59:16
TimeTaken(Seconds),0.0

extension,freq
dontgzip,False
allowNs,False
dontcheckinput,False
barcodeduplication,False
minbcQ,20
bcQbelowmin,1
bcthreshold,2
lenthreshold,130
percentlevdist,10
avgQthreshold,30
positionalbarcodes,False
oligo,M13

InputUncollapsedDCRLines,42
UniqueDCRsPassingFilters,35
TotalDCRsPassingFilters,38
PercentDCRPassingFilters(withbarcode),0.905
UniqueDCRsPostCollapsing,35
TotalDCRsPostCollapsing,35
PercentUniqueDCRsKept,1.0
PercentTotalDCRsKept,0.921
AverageInputTCRAbundance,1.086
AverageOutputTCRAbundance,1.0
AverageRNAduplication,1.086

BarcodeFail_ContainedNs,0
BarcodeFail_SpacersNotFound,1
BarcodeFail_LowQuality,3
